"CubeId";"plimoinchq"
"PublishingDate";"2025-04-22 09:00"

"Date";"D0";"D1";"Value"
"2023-Q2";"EH";"TP2";"210.37058595"
"2023-Q2";"EH";"AP";"193.45966909"
"2023-Q2";"EH";"TP";"216.2567198"
"2023-Q2";"MH";"TP1";"150.36140991"
"2023-Q2";"MH";"TP2";"166.10427117"
"2023-Q2";"MH";"TP";"159.5339158"
"2023-Q2";"MW";"AP";"141.56819489"
"2023-Q2";"BF";"AP";"124.0804064"
"2023-Q2";"GF";"AP";"122.20251249"
"2023-Q2";"VF";"AP";"113.94011904"
"2023-Q3";"EW";"TP3";"115.0694"
"2023-Q3";"EW";"TP1";"260.54211201"
"2023-Q3";"EW";"TP2";"229.03390003"
"2023-Q3";"EW";"AP";"189.56687467"
"2023-Q3";"EW";"TP";"238.50474014"
"2023-Q3";"EH";"TP3";"117.3105"
"2023-Q3";"EH";"TP1";"222.29344719"
"2023-Q3";"EH";"TP2";"213.50407451"
"2023-Q3";"EH";"AP";"191.80410508"
"2023-Q3";"EH";"TP";"217.65176341"
"2023-Q3";"MH";"TP1";"149.16506062"
"2023-Q3";"MH";"TP2";"167.09226326"
"2023-Q3";"MH";"TP";"164.21380287"
"2023-Q3";"MW";"AP";"145.46381875"
"2023-Q3";"BF";"AP";"120.17346843"
"2023-Q3";"GF";"AP";"116.44726016"
"2023-Q3";"VF";"AP";"109.92837634"
"2023-Q4";"EW";"TP3";"116.9765"
"2023-Q4";"EW";"TP1";"262.23784593"
"2023-Q4";"EW";"TP2";"231.72147002"
"2023-Q4";"EW";"AP";"191.87790899"
"2023-Q4";"EW";"TP";"241.85300301"
"2023-Q4";"EH";"TP3";"117.9554"
"2023-Q4";"EH";"TP1";"220.92898767"
"2023-Q4";"EH";"TP2";"215.93907645"
"2023-Q4";"EH";"AP";"193.45426392"
"2023-Q4";"EH";"TP";"219.19560366"
"2023-Q4";"MH";"TP1";"151.62073767"
"2023-Q4";"MH";"TP2";"168.94664843"
"2023-Q4";"MH";"TP";"165.17922195"
"2023-Q4";"MW";"AP";"146.77757711"
"2023-Q4";"BF";"AP";"119.76750933"
"2023-Q4";"GF";"AP";"116.35414374"
"2023-Q4";"VF";"AP";"111.91546358"
"2024-Q1";"EW";"TP3";"115.4836"
"2024-Q1";"EW";"TP1";"263.61206596"
"2024-Q1";"EW";"TP2";"232.70894839"
"2024-Q1";"EW";"AP";"192.59890013"
"2024-Q1";"EW";"TP";"244.67408627"
"2024-Q1";"EH";"TP3";"117.1634"
"2024-Q1";"EH";"TP1";"222.52329114"
"2024-Q1";"EH";"TP2";"217.53007373"
"2024-Q1";"EH";"AP";"193.27053804"
"2024-Q1";"EH";"TP";"220.08827671"
"2024-Q1";"MH";"TP1";"154.31593168"
"2024-Q1";"MH";"TP2";"168.80984952"
"2024-Q1";"MH";"TP";"164.37662271"
"2024-Q1";"MW";"AP";"148.96237217"
"2024-Q1";"BF";"AP";"119.89634987"
"2024-Q1";"GF";"AP";"121.14026937"
"2024-Q1";"VF";"AP";"112.66672732"
"2024-Q2";"EW";"TP3";"116.5336"
"2024-Q2";"EW";"TP1";"263.66763951"
"2024-Q2";"EW";"TP2";"235.21327497"
"2024-Q2";"EW";"AP";"191.15534663"
"2024-Q2";"EW";"TP";"247.73251712"
"2024-Q2";"EH";"TP3";"118.6097"
"2024-Q2";"EH";"TP1";"224.26589797"
"2024-Q2";"EH";"TP2";"220.12029492"
"2024-Q2";"EH";"AP";"194.34915784"
"2024-Q2";"EH";"TP";"221.69780467"
"2024-Q2";"MH";"TP1";"156.34548099"
"2024-Q2";"MH";"TP2";"169.10624715"
"2024-Q2";"MH";"TP";"161.94195406"
"2024-Q2";"MW";"AP";"150.67093099"
"2024-Q2";"BF";"AP";"121.61662804"
"2024-Q2";"GF";"AP";"120.67911232"
"2024-Q2";"VF";"AP";"112.33704519"
"2024-Q3";"EW";"TP3";"117.3691"
"2024-Q3";"EW";"TP1";"265.30042985"
"2024-Q3";"EW";"TP2";"237.62597984"
"2024-Q3";"EW";"AP";"189.66477043"
"2024-Q3";"EW";"TP";"249.93642919"
"2024-Q3";"EH";"TP3";"119.017"
"2024-Q3";"EH";"TP1";"226.08464017"
"2024-Q3";"EH";"TP2";"221.66278619"
"2024-Q3";"EH";"AP";"195.53256712"
"2024-Q3";"EH";"TP";"225.29542324"
"2024-Q3";"MH";"TP1";"160.58034635"
"2024-Q3";"MH";"TP2";"171.35582915"
"2024-Q3";"MH";"TP";"162.06872837"
"2024-Q3";"MW";"AP";"150.95904131"
"2024-Q3";"BF";"AP";"120.80072489"
"2024-Q3";"GF";"AP";"121.22551533"
"2024-Q3";"VF";"AP";"111.95494842"
"2024-Q4";"EW";"TP3";"120.7687"
"2024-Q4";"EW";"TP1";"268.78524705"
"2024-Q4";"EW";"TP2";"238.84760257"
"2024-Q4";"EW";"AP";"190.01686987"
"2024-Q4";"EW";"TP";"252.12177531"
"2024-Q4";"EH";"TP3";"119.6414"
"2024-Q4";"EH";"TP1";"227.71233454"
"2024-Q4";"EH";"TP2";"221.26503686"
"2024-Q4";"EH";"AP";"195.13004779"
"2024-Q4";"EH";"TP";"226.72884692"
"2024-Q4";"MH";"TP1";"164.70785797"
"2024-Q4";"MH";"TP2";"170.83903329"
"2024-Q4";"MH";"TP";"163.99861187"
"2024-Q4";"MW";"AP";"150.08833698"
"2024-Q4";"BF";"AP";"122.65226691"
"2024-Q4";"GF";"AP";"121.27627465"
"2024-Q4";"VF";"AP";"112.83301808"
"2025-Q1";"EW";"TP3";
"2025-Q1";"EW";"TP1";"275.51239427"
"2025-Q1";"EW";"TP2";"240.2524687"
"2025-Q1";"EW";"AP";"193.80286955"
"2025-Q1";"EW";"TP";"255.47838546"
"2025-Q1";"EH";"TP3";
"2025-Q1";"EH";"TP1";"231.22078017"
"2025-Q1";"EH";"TP2";"222.43888242"
"2025-Q1";"EH";"AP";"198.16559432"
"2025-Q1";"EH";"TP";"230.4006429"
"2025-Q1";"MH";"TP1";
"2025-Q1";"MH";"TP2";"170.5122359"
"2025-Q1";"MH";"TP";
"2025-Q1";"MW";"AP";"152.31852927"
"2025-Q1";"BF";"AP";"124.00326497"
"2025-Q1";"GF";"AP";"121.69614535"
"2025-Q1";"VF";"AP";"116.1316362"
