"CubeId";"snboffzisa"
"PublishingDate";"2025-04-22 09:00"

"Date";"D0";"Value"
"2024-02";"OG1";"5.5"
"2024-02";"H";"4.5"
"2024-02";"SRF";"4.75"
"2024-02";"EF";"4"
"2024-02";"L0";"5.25"
"2024-02";"L1";"-0.1"
"2024-03";"LZ";"1.5"
"2024-03";"UG1";"5.25"
"2024-03";"OG1";"5.5"
"2024-03";"H";"4.5"
"2024-03";"SRF";"4.75"
"2024-03";"EF";"4"
"2024-03";"L0";"5.25"
"2024-03";"L1";"0.1"
"2024-04";"LZ";"1.5"
"2024-04";"UG1";"5.25"
"2024-04";"OG1";"5.5"
"2024-04";"H";"4.5"
"2024-04";"SRF";"4.75"
"2024-04";"EF";"4"
"2024-04";"L0";"5.25"
"2024-04";"L1";"0.1"
"2024-05";"LZ";"1.5"
"2024-05";"UG1";"5.25"
"2024-05";"OG1";"5.5"
"2024-05";"H";"4.5"
"2024-05";"SRF";"4.75"
"2024-05";"EF";"4"
"2024-05";"L0";"5.25"
"2024-05";"L1";"0.1"
"2024-06";"LZ";"1.25"
"2024-06";"UG1";"5.25"
"2024-06";"OG1";"5.5"
"2024-06";"H";"4.25"
"2024-06";"SRF";"4.5"
"2024-06";"EF";"3.75"
"2024-06";"L0";"5.25"
"2024-06";"L1";"0.1"
"2024-07";"LZ";"1.25"
"2024-07";"UG1";"5.25"
"2024-07";"OG1";"5.5"
"2024-07";"H";"4.25"
"2024-07";"SRF";"4.5"
"2024-07";"EF";"3.75"
"2024-07";"L0";"5.25"
"2024-07";"L1";"0.25"
"2024-08";"LZ";"1.25"
"2024-08";"UG1";"5.25"
"2024-08";"OG1";"5.5"
"2024-08";"H";"4.25"
"2024-08";"SRF";"4.5"
"2024-08";"EF";"3.75"
"2024-08";"L0";"5"
"2024-08";"L1";"0.25"
"2024-09";"LZ";"1"
"2024-09";"UG1";"4.75"
"2024-09";"OG1";"5"
"2024-09";"H";"3.65"
"2024-09";"SRF";"3.9"
"2024-09";"EF";"3.5"
"2024-09";"L0";"5"
"2024-09";"L1";"0.25"
"2024-10";"LZ";"1"
"2024-10";"UG1";"4.75"
"2024-10";"OG1";"5"
"2024-10";"H";"3.4"
"2024-10";"SRF";"3.65"
"2024-10";"EF";"3.25"
"2024-10";"L0";"5"
"2024-10";"L1";"0.25"
"2024-11";"LZ";"1"
"2024-11";"UG1";"4.5"
"2024-11";"OG1";"4.75"
"2024-11";"H";"3.4"
"2024-11";"SRF";"3.65"
"2024-11";"EF";"3.25"
"2024-11";"L0";"4.75"
"2024-11";"L1";"0.25"
"2024-12";"LZ";"0.5"
"2024-12";"UG1";"4.25"
"2024-12";"OG1";"4.5"
"2024-12";"H";"3.15"
"2024-12";"SRF";"3.4"
"2024-12";"EF";"3"
"2024-12";"L0";"4.75"
"2024-12";"L1";"0.25"
"2025-01";"LZ";"0.5"
"2025-01";"UG1";"4.25"
"2025-01";"OG1";"4.5"
"2025-01";"H";"2.9"
"2025-01";"SRF";"3.15"
"2025-01";"EF";"2.75"
"2025-01";"L0";"4.75"
"2025-01";"L1";"0.5"
"2025-02";"LZ";"0.5"
"2025-02";"UG1";"4.25"
"2025-02";"OG1";"4.5"
"2025-02";"H";"2.9"
"2025-02";"SRF";"3.15"
"2025-02";"EF";"2.75"
"2025-02";"L0";"4.5"
"2025-02";"L1";"0.5"
"2025-03";"LZ";"0.25"
"2025-03";"UG1";"4.25"
"2025-03";"OG1";"4.5"
"2025-03";"H";"2.65"
"2025-03";"SRF";"2.9"
"2025-03";"EF";"2.5"
"2025-03";"L0";"4.5"
"2025-03";"L1";"0.5"
